                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0833,                 3.5268,                 4.0311,                0.00118,                    0.5,                0.02442,                 0.0102,                 3.5094,                  4.034,                 4.1188,             0.00054685,             0.00054685,             0.00054685
                      2,                 2.6025,                  2.899,                 3.1832,                0.56823,                0.08088,                0.04689,                 0.0136,                 3.5106,                 4.1289,                 3.9381,              0.0010916,              0.0010916,              0.0010916
                      3,                  2.186,                 2.4147,                 2.6537,                0.36307,                0.47771,                0.34643,                0.18251,                 1.7058,                 4.1588,                 2.1677,              0.0016253,              0.0016253,              0.0016253
                      4,                 1.8682,                 2.1162,                 2.3483,                0.23564,                0.23129,                0.23305,                0.12161,                 1.8151,                 3.5947,                 2.1598,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6123,                  1.794,                 2.0843,                0.67374,                0.64894,                0.66024,                0.40457,                 1.3619,                  1.838,                 1.8118,               0.001601,               0.001601,               0.001601
                      6,                 1.4014,                 1.6088,                  1.883,                 0.5854,                0.78599,                0.63188,                0.40584,                 1.3125,                 1.4498,                 1.7227,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2464,                 1.4078,                 1.7177,                0.63903,                0.82151,                0.62009,                0.38783,                 1.1612,                 1.3896,                 1.5834,               0.001568,               0.001568,               0.001568
                      8,                 1.1066,                 1.1859,                 1.5516,                0.65848,                0.83803,                0.74765,                0.51922,                 1.1095,                 1.2833,                 1.4995,              0.0015515,              0.0015515,              0.0015515
                      9,                0.95913,                 1.0271,                  1.415,                0.75494,                0.87119,                0.79539,                0.59455,                0.91377,                 1.0038,                 1.2891,               0.001535,               0.001535,               0.001535
                     10,                0.90419,                0.92883,                 1.3391,                0.74476,                0.79844,                0.83673,                0.66071,                0.89134,                0.96254,                 1.1729,              0.0015185,              0.0015185,              0.0015185
                     11,                0.78976,                0.86852,                 1.2521,                  0.838,                0.90342,                0.90567,                0.75786,                0.70851,                0.71829,                 1.0421,               0.001502,               0.001502,               0.001502
                     12,                0.69973,                0.79535,                 1.1938,                0.81905,                0.88435,                0.88922,                0.74462,                0.74484,                0.75898,                 1.0471,              0.0014855,              0.0014855,              0.0014855
                     13,                0.68139,                0.76863,                 1.1559,                0.81036,                0.89796,                0.90967,                0.78048,                0.66269,                  0.726,                0.93873,               0.001469,               0.001469,               0.001469
